Team,Current FIFA rank
Russia,65.0
Saudi Arabia,63.0
Egypt,31.0
Uruguay,21.0
Portugal,3.0
Spain,6.0
Morocco,40.0
Iran,32.0
France,9.0
Australia,39.0
Peru,11.0
Denmark,12.0
Argentina,4.0
Iceland,22.0
Croatia,17.0
Nigeria,50.0
Brazil,2.0
Switzerland,8.0
Costa Rica,26.0
Serbia,37.0
Germany,1.0
Mexico,16.0
Sweden,18.0
South Korea,59.0
Belgium,5.0
Panama,56.0
Tunisia,27.0
England,15.0
Poland,7.0
Senegal,23.0
Colombia,13.0
Japan,55.0
,
